"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2018","1.0028","1.0160","1.0202","0.9964","285.49K","-1.30%"
"Dec 07, 2018","1.0052","1.0036","1.0185","0.9977","388.72K","0.24%"
"Dec 08, 2018","1.0053","1.0052","1.0113","1.0040","218.42K","0.01%"
"Dec 09, 2018","1.0073","1.0053","1.0119","1.0045","140.32K","0.20%"
"Dec 10, 2018","1.0079","1.0073","1.0146","1.0066","154.41K","0.06%"
"Dec 11, 2018","1.0125","1.0079","1.0140","1.0078","210.87K","0.46%"
"Dec 12, 2018","1.0088","1.0113","1.0197","1.0028","308.79K","-0.36%"
"Dec 13, 2018","1.0139","1.0088","1.0152","1.0044","157.29K","0.50%"
"Dec 14, 2018","1.0129","1.0139","1.0157","1.0083","266.77K","-0.10%"
"Dec 15, 2018","1.0156","1.0129","1.0183","1.0107","65.11K","0.27%"
"Dec 16, 2018","1.0142","1.0156","1.0193","1.0119","109.09K","-0.14%"
"Dec 17, 2018","1.0109","1.0142","1.0228","1.0030","128.45K","-0.32%"
"Dec 18, 2018","1.0093","1.0109","1.0260","1.0040","232.39K","-0.16%"
"Dec 19, 2018","0.9949","1.0093","1.0093","0.9918","201.05K","-1.42%"
"Dec 20, 2018","0.9929","0.9949","0.9960","0.9598","245.76K","-0.20%"
"Dec 21, 2018","0.9833","0.9929","1.0000","0.9572","157.43K","-0.96%"
"Dec 22, 2018","0.9568","0.9833","0.9859","0.9548","67.16K","-2.69%"
"Dec 23, 2018","1.0045","0.9568","1.0058","0.9510","93.58K","4.98%"
"Dec 24, 2018","1.0075","1.0045","1.0274","1.0035","271.33K","0.30%"
"Dec 25, 2018","0.9953","1.0075","1.0077","0.9909","95.37K","-1.21%"
"Dec 26, 2018","1.0112","0.9953","1.0157","0.9930","79.46K","1.59%"
"Dec 27, 2018","0.9824","1.0112","1.0178","0.9784","77.47K","-2.85%"
"Dec 28, 2018","0.9864","0.9824","1.0313","0.9784","151.11K","0.41%"
"Dec 29, 2018","1.0248","0.9855","1.0280","0.9822","121.50K","3.89%"
"Dec 30, 2018","1.0220","1.0248","1.0277","0.9981","122.54K","-0.28%"
"Dec 31, 2018","1.0161","1.0220","1.0364","1.0109","136.29K","-0.58%"
"Jan 01, 2019","1.0094","1.0163","1.0196","1.0066","143.59K","-0.66%"
"Jan 02, 2019","1.0704","1.0094","1.0883","1.0082","87.21K","6.04%"
"Jan 03, 2019","0.8521","1.0704","1.0786","0.8290","70.47K","-20.39%"
"Jan 04, 2019","0.9652","0.8521","0.9686","0.7660","114.57K","13.28%"
"Jan 05, 2019","0.9702","0.9652","0.9774","0.9650","127.84K","0.51%"
"Jan 06, 2019","0.9760","0.9702","0.9805","0.9664","162.11K","0.60%"
"Jan 07, 2019","0.9689","0.9760","0.9785","0.9688","90.60K","-0.73%"
"Jan 08, 2019","0.9245","0.9689","0.9689","0.9244","86.65K","-4.58%"
"Jan 09, 2019","0.9516","0.9245","0.9516","0.9245","80.44K","2.93%"
"Jan 10, 2019","0.9859","0.9516","0.9975","0.9516","210.65K","3.60%"
"Jan 11, 2019","0.9903","0.9859","0.9957","0.9853","119.88K","0.45%"
"Jan 12, 2019","0.9730","0.9903","1.0139","0.9720","134.00K","-1.75%"
"Jan 13, 2019","0.9649","0.9730","0.9735","0.9557","92.15K","-0.82%"
"Jan 14, 2019","0.9467","0.9649","1.0161","0.9467","89.03K","-1.89%"
"Jan 15, 2019","0.9304","0.9467","0.9633","0.9296","146.91K","-1.71%"
"Jan 16, 2019","0.9873","0.9304","0.9971","0.9296","155.34K","6.11%"
"Jan 17, 2019","0.9867","0.9873","0.9919","0.9846","121.17K","-0.06%"
"Jan 18, 2019","0.9861","0.9867","0.9884","0.9840","162.95K","-0.07%"
"Jan 19, 2019","0.9824","0.9861","0.9876","0.9805","130.45K","-0.37%"
"Jan 20, 2019","0.9865","0.9824","0.9888","0.9804","161.53K","0.42%"
"Jan 21, 2019","0.9975","0.9865","0.9975","0.9852","112.70K","1.12%"
"Jan 22, 2019","0.9936","0.9975","1.0050","0.9836","113.82K","-0.39%"
"Jan 23, 2019","0.9964","0.9936","0.9989","0.9897","184.96K","0.28%"
"Jan 24, 2019","0.9917","0.9964","0.9995","0.9898","59.27K","-0.47%"
"Jan 25, 2019","0.9926","0.9950","0.9976","0.9852","91.17K","0.09%"
"Jan 26, 2019","0.9883","0.9926","0.9934","0.9835","82.49K","-0.43%"
"Jan 27, 2019","0.9966","0.9847","1.0055","0.9836","105.28K","0.83%"
"Jan 28, 2019","0.9994","0.9966","1.0062","0.9791","89.66K","0.29%"
"Jan 29, 2019","1.0061","0.9994","1.0165","0.9971","100.43K","0.66%"
"Jan 30, 2019","1.0244","1.0061","1.0372","1.0003","121.90K","1.82%"
"Jan 31, 2019","1.0342","1.0244","1.0382","1.0211","110.23K","0.96%"
"Feb 01, 2019","1.0505","1.0342","1.0637","1.0223","97.26K","1.57%"
"Feb 02, 2019","1.0237","1.0505","1.0733","1.0067","102.29K","-2.55%"
"Feb 03, 2019","1.0167","1.0237","1.0257","1.0160","92.97K","-0.68%"
"Feb 04, 2019","1.0168","1.0167","1.0254","1.0137","271.69K","0.01%"
"Feb 05, 2019","1.0163","1.0166","1.0206","1.0069","94.67K","-0.05%"
"Feb 06, 2019","1.0229","1.0163","1.0251","0.9454","99.24K","0.65%"
"Feb 07, 2019","1.0046","1.0229","1.0253","0.9972","181.27K","-1.78%"
"Feb 08, 2019","1.0208","1.0046","1.0425","0.9985","212.38K","1.61%"
"Feb 09, 2019","0.9832","1.0208","1.0232","0.9662","91.59K","-3.69%"
"Feb 10, 2019","0.9917","0.9789","1.0066","0.9705","91.04K","0.86%"
"Feb 11, 2019","0.9953","0.9895","0.9971","0.9878","91.43K","0.37%"
"Feb 12, 2019","1.0196","0.9953","1.0426","0.9887","99.90K","2.44%"
"Feb 13, 2019","1.0101","1.0212","1.0240","1.0074","84.60K","-0.93%"
"Feb 14, 2019","1.0116","1.0184","1.0201","1.0068","86.48K","0.15%"
"Feb 15, 2019","1.0006","1.0116","1.0167","0.9590","83.96K","-1.10%"
"Feb 16, 2019","1.0003","1.0066","1.0067","0.9968","82.14K","-0.03%"
"Feb 17, 2019","1.0049","1.0003","1.0229","0.9968","121.84K","0.46%"
"Feb 18, 2019","1.0189","1.0067","1.0338","0.9981","89.02K","1.39%"
"Feb 19, 2019","1.0301","1.0239","1.0439","1.0128","111.57K","1.10%"
"Feb 20, 2019","1.0383","1.0301","1.0599","1.0064","39.77K","0.80%"
"Feb 21, 2019","1.0231","1.0383","1.0442","1.0163","133.50K","-1.46%"
"Feb 22, 2019","1.0364","1.0231","1.0501","1.0225","87.08K","1.29%"
"Feb 23, 2019","1.0302","1.0364","1.0501","1.0139","120.63K","-0.59%"
"Feb 24, 2019","0.9739","1.0302","1.0334","0.9701","125.90K","-5.47%"
"Feb 25, 2019","0.9754","0.9739","0.9884","0.9703","118.43K","0.15%"
"Feb 26, 2019","0.9895","0.9754","0.9966","0.9565","114.95K","1.44%"
"Feb 27, 2019","0.9882","0.9925","1.0045","0.9868","109.29K","-0.14%"
"Feb 28, 2019","0.9941","0.9882","1.0045","0.9840","105.53K","0.60%"
"Mar 01, 2019","1.0193","0.9941","1.0266","0.9907","87.76K","2.53%"
"Mar 02, 2019","0.9959","1.0193","1.0231","0.9946","82.39K","-2.29%"
"Mar 03, 2019","0.9998","0.9979","1.0044","0.9946","84.02K","0.39%"
"Mar 04, 2019","0.9738","1.0023","1.0039","0.9667","101.99K","-2.60%"
"Mar 05, 2019","0.9972","0.9739","1.0110","0.9735","106.23K","2.41%"
"Mar 06, 2019","1.0042","0.9991","1.0045","0.9947","81.27K","0.70%"
"Mar 07, 2019","1.0055","1.0042","1.0140","0.9947","82.61K","0.13%"
"Mar 08, 2019","1.0235","1.0055","1.0236","1.0044","83.36K","1.78%"
"Mar 09, 2019","1.0313","1.0235","1.0432","1.0233","82.49K","0.77%"
"Mar 10, 2019","1.0161","1.0313","1.0341","1.0141","80.78K","-1.47%"
"Mar 11, 2019","0.9969","1.0188","1.0237","0.9877","102.44K","-1.89%"
"Mar 12, 2019","1.0083","0.9969","1.0088","0.9896","401.95K","1.15%"
"Mar 13, 2019","1.0035","1.0083","1.0088","0.9970","100.20K","-0.48%"
"Mar 14, 2019","1.0024","1.0035","1.0048","0.9996","101.10K","-0.11%"
"Mar 15, 2019","1.0023","1.0017","1.0094","1.0012","104.93K","-0.01%"
"Mar 16, 2019","1.0161","1.0023","1.0252","1.0005","109.30K","1.38%"
"Mar 17, 2019","1.0139","1.0131","1.0250","1.0113","124.15K","-0.22%"
"Mar 18, 2019","1.0080","1.0139","1.0194","1.0004","97.43K","-0.58%"
"Mar 19, 2019","1.0066","1.0083","1.0094","1.0004","92.38K","-0.14%"
"Mar 20, 2019","1.0023","1.0073","1.0092","1.0004","105.50K","-0.43%"
"Mar 21, 2019","1.0072","1.0023","1.0227","1.0006","115.29K","0.49%"
"Mar 22, 2019","1.0064","1.0044","1.0099","1.0013","123.85K","-0.08%"
"Mar 23, 2019","1.0075","1.0064","1.0193","1.0006","90.45K","0.11%"
"Mar 24, 2019","0.9884","1.0024","1.0103","0.9869","89.17K","-1.90%"
"Mar 25, 2019","0.9967","0.9884","1.0002","0.9869","132.30K","0.83%"
"Mar 26, 2019","0.9864","0.9967","0.9998","0.9858","84.05K","-1.03%"
"Mar 27, 2019","0.9965","0.9864","1.0106","0.9859","220.88K","1.02%"
"Mar 28, 2019","0.9975","0.9965","1.0036","0.9872","76.92K","0.10%"
"Mar 29, 2019","1.0063","1.0010","1.0109","0.9949","111.99K","0.89%"
"Mar 30, 2019","1.0099","1.0063","1.0173","1.0028","107.37K","0.35%"
"Mar 31, 2019","1.0053","1.0099","1.0147","1.0027","98.52K","-0.45%"
